,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
,W19,  1.3540,  2.0873,  0.1862,  0.2369,  0.0010,  0.0012
,W20,  1.0042, -2.5340,  0.1482, -0.3193,  0.0008,  0.0017
,W21,  1.1348,  2.8502,  0.1505,  0.3405,  0.0008,  0.0018
,W22,  0.8961,  0.2808,  0.1287,  0.0149,  0.0007,  0.0001
,W23,  0.8725, -0.6158,  0.1220, -0.0767,  0.0006,  0.0004
,W24,  0.6338, -3.1852,  0.1002, -0.4023,  0.0005,  0.0021
Level 8        ,E37,  2.0941,  0.3351,  0.3562,  0.0311,  0.0019,  0.0002
,E38,  1.9836, -0.8316,  0.3423, -0.1575,  0.0018,  0.0008
,E39,  0.0428,  0.8847,  0.0082,  0.1377,  0.0000,  0.0007
,E40,  0.2886,  3.4711,  0.0390,  0.5531,  0.0002,  0.0029
,E41,  2.1070,  0.6005,  0.3587,  0.0724,  0.0019,  0.0004
,E42,  2.0813,  0.0697,  0.3538, -0.0102,  0.0018,  0.0001
,E43, -2.0813, -0.0697, -0.3538,  0.0102,  0.0018,  0.0001
,E44, -2.1070, -0.6005, -0.3587, -0.0724,  0.0019,  0.0004
,E45,  0.6710,  0.9852,  0.1151,  0.1470,  0.0006,  0.0008
,E46,  0.5855, -0.7842,  0.0987, -0.1283,  0.0005,  0.0007
,E47, -0.5855,  0.7842, -0.0987,  0.1283,  0.0005,  0.0007
,E48, -0.6710, -0.9852, -0.1151, -0.1470,  0.0006,  0.0008
,E49,  2.1807,  1.3764,  0.3679,  0.1970,  0.0019,  0.0010
,E50,  2.0075, -0.7063,  0.3445, -0.1348,  0.0018,  0.0007
,E51, -2.0075,  0.7063, -0.3445,  0.1348,  0.0018,  0.0007
,E52, -2.1807, -1.3764, -0.3679, -0.1970,  0.0019,  0.0010
,E53,  0.9169,  3.5716,  0.1458,  0.5625,  0.0008,  0.0029
,E54,  0.3396, -3.3706,  0.0679, -0.5438,  0.0004,  0.0028
,E55, -0.3396,  3.3706, -0.0679,  0.5438,  0.0004,  0.0028
,E56, -0.9169, -3.5716, -0.1458, -0.5625,  0.0008,  0.0029
,E57,  1.9964, -0.5662,  0.3448, -0.1162,  0.0018,  0.0006
,E58,  1.9708, -1.0971,  0.3399, -0.1988,  0.0018,  0.0010
,E59, -1.9708,  1.0971, -0.3399,  0.1988,  0.0018,  0.0010
,E60, -1.9964,  0.5662, -0.3448,  0.1162,  0.0018,  0.0006
,E61,  0.6379,  0.6352,  0.1109,  0.0904,  0.0006,  0.0005
,E62,  0.5523, -1.1342,  0.0945, -0.1849,  0.0005,  0.0010
,E63, -0.5523,  1.1342, -0.0945,  0.1849,  0.0005,  0.0010
,E64, -0.6379, -0.6352, -0.1109, -0.0904,  0.0006,  0.0005
,E65,  2.0702,  0.2097,  0.3540,  0.0085,  0.0018,  0.0000
,E66,  1.8970, -1.8730,  0.3306, -0.3234,  0.0017,  0.0017
,E67, -1.8970,  1.8730, -0.3306,  0.3234,  0.0017,  0.0017
,E68, -2.0702, -0.2097, -0.3540, -0.0085,  0.0018,  0.0000
,E69,  0.8837,  3.2216,  0.1417,  0.5059,  0.0007,  0.0026
,E70,  0.3064, -3.7206,  0.0637, -0.6004,  0.0003,  0.0031
,E71, -0.3064,  3.7206, -0.0637,  0.6004,  0.0003,  0.0031
,E72, -0.8837, -3.2216, -0.1417, -0.5059,  0.0007,  0.0026
,W13,  1.3492, -0.2429,  0.2200, -0.0513,  0.0011,  0.0003
,W14,  0.2078,  2.7101,  0.0276,  0.3944,  0.0001,  0.0021
,W15,  1.0375,  0.0843,  0.1679,  0.0018,  0.0009,  0.0000
,W16,  0.9863, -0.4486,  0.1621, -0.0788,  0.0008,  0.0004
,W17,  0.0368,  0.8031,  0.0073,  0.1126,  0.0000,  0.0006
,W18,  0.2750,  3.2620,  0.0342,  0.4789,  0.0002,  0.0025
,W19,  1.1678,  1.8504,  0.1857,  0.2573,  0.0010,  0.0013
,W20,  0.8560, -2.2147,  0.1443, -0.3343,  0.0008,  0.0017
,W21,  0.9843,  2.5097,  0.1515,  0.3605,  0.0008,  0.0019
,W22,  0.7674,  0.2659,  0.1270,  0.0254,  0.0007,  0.0001
,W23,  0.7505, -0.5391,  0.1204, -0.0831,  0.0006,  0.0004
,W24,  0.5335, -2.7829,  0.0959, -0.4183,  0.0005,  0.0022
Level 7        ,E37,  1.7379,  0.3040,  0.3570,  0.0394,  0.0019,  0.0002
,E38,  1.6413, -0.6742,  0.3423, -0.1542,  0.0018,  0.0008
,E39,  0.0346,  0.7470,  0.0105,  0.1456,  0.0001,  0.0008
